/ # psql -U postgres
psql (17.8)
Type "help" for help.

postgres=# SELECT * FROM CHARACTERS;

 id  |                     name                      | status  |        species        |                type                |   gender   |                   origin                   |                  location                  |                           image                           | episode_count 
 311 | Shimshamian                                   | Alive   | Alien                 | Shimshamian                        | Male       | unknown                                    | Planet Squanch                             | https://rickandmortyapi.com/api/character/avatar/311.jpeg |             3
 312 | Shlaammi                                      | Alive   | Alien                 |                                    | unknown    | unknown                                    | Interdimensional Cable                     | https://rickandmortyapi.com/api/character/avatar/312.jpeg |             1
 313 | Shleemypants                                  | Alive   | unknown               | Omniscient being                   | Male       | unknown                                    | Snake Planet                               | https://rickandmortyapi.com/api/character/avatar/313.jpeg |             2
 314 | Shmlamantha Shmlicelli                        | Alive   | Human                 |                                    | Female     | unknown                                    | Interdimensional Cable                     | https://rickandmortyapi.com/api/character/avatar/314.jpeg |             1
 315 | Shmlangela Shmlobinson-Shmlower               | Alive   | Human                 |                                    | Female     | unknown                                    | Interdimensional Cable                     | https://rickandmortyapi.com/api/character/avatar/315.jpeg |             1
 316 | Shmlona Shmlobinson                           | Alive   | Human                 |                                    | Female     | unknown                                    | Interdimensional Cable                     | https://rickandmortyapi.com/api/character/avatar/316.jpeg |             1
 317 | Shmlonathan Shmlower                          | Alive   | Human                 |                                    | Male       | unknown                                    | Interdimensional Cable                     | https://rickandmortyapi.com/api/character/avatar/317.jpeg |             1
 318 | Shmlony Shmlicelli                            | Alive   | Human                 |                                    | Male       | unknown                                    | Interdimensional Cable                     | https://rickandmortyapi.com/api/character/avatar/318.jpeg |             1
 319 | Shmooglite Runner                             | unknown | Alien                 | Animal                             | Male       | Resort Planet                              | Resort Planet                              | https://rickandmortyapi.com/api/character/avatar/319.jpeg |             1
 320 | Shnoopy Bloopers                              | unknown | Alien                 |                                    | Male       | unknown                                    | Immortality Field Resort                   | https://rickandmortyapi.com/api/character/avatar/320.jpeg |             1
 321 | Shrimply Pibbles                              | Alive   | Alien                 |                                    | Male       | unknown                                    | St. Gloopy Noops Hospital                  | https://rickandmortyapi.com/api/character/avatar/321.jpeg |             1
 322 | Simple Rick                                   | Dead    | Human                 |                                    | Male       | unknown                                    | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/322.jpeg |             1
 323 | Slaveowner                                    | Dead    | Human                 |                                    | Male       | Post-Apocalyptic Earth                     | Post-Apocalyptic Earth                     | https://rickandmortyapi.com/api/character/avatar/323.jpeg |             1
 324 | Sleepy Gary                                   | Dead    | Alien                 | Parasite                           | Male       | unknown                                    | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/324.jpeg |             1
 325 | Slick Morty                                   | Dead    | Human                 |                                    | Male       | unknown                                    | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/325.jpeg |             1
 326 | Slippery Stair                                | Alive   | Mythological Creature | Slug                               | Male       | Fantasy World                              | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/326.jpeg |             2
 327 | Slow Mobius                                   | Alive   | Humanoid              |                                    | Male       | unknown                                    | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/327.jpeg |             1
 328 | Slow Rick                                     | Alive   | Human                 |                                    | Male       | unknown                                    | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/328.jpeg |             1
 329 | Snuffles (Snowball)                           | Alive   | Animal                | Dog                                | Male       | Earth (C-137)                              | unknown                                    | https://rickandmortyapi.com/api/character/avatar/329.jpeg |             8
 330 | Solicitor Rick                                | unknown | Human                 |                                    | Male       | unknown                                    | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/330.jpeg |             2
 331 | Squanchy                                      | unknown | Alien                 | Cat-Person                         | Male       | Planet Squanch                             | Planet Squanch                             | https://rickandmortyapi.com/api/character/avatar/331.jpeg |             3
 332 | Stacy                                         | Alive   | Human                 |                                    | Female     | Earth (Replacement Dimension)              | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/332.jpeg |             1
 333 | Stair Goblin                                  | Alive   | Mythological Creature | Stair goblin                       | Genderless | unknown                                    | Fantasy World                              | https://rickandmortyapi.com/api/character/avatar/333.jpeg |             3
 334 | Stealy                                        | Alive   | Poopybutthole         |                                    | Male       | unknown                                    | Interdimensional Cable                     | https://rickandmortyapi.com/api/character/avatar/334.jpeg |             1
 335 | Steve                                         | Alive   | Human                 |                                    | Male       | Earth (Replacement Dimension)              | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/335.jpeg |             1
 336 | Steven Phillips                               | Alive   | Alien                 | Unknown-nippled alien              | Male       | Unitys Planet                              | Unitys Planet                              | https://rickandmortyapi.com/api/character/avatar/336.jpeg |             1
 337 | Stu                                           | Dead    | Alien                 | Zigerion                           | Male       | unknown                                    | Zigerions Base                             | https://rickandmortyapi.com/api/character/avatar/337.jpeg |             1
 338 | Summer Smith                                  | Alive   | Human                 |                                    | Female     | Earth (C-137)                              | Earth (C-137)                              | https://rickandmortyapi.com/api/character/avatar/338.jpeg |             7
 339 | Summer Smith                                  | Alive   | Human                 |                                    | Female     | Earth (Evil Ricks Target Dimension)        | Earth (Evil Ricks Target Dimension)        | https://rickandmortyapi.com/api/character/avatar/339.jpeg |             1
 340 | Supernova                                     | Alive   | Human                 | Superhuman                         | Female     | unknown                                    | Worldenders lair                           | https://rickandmortyapi.com/api/character/avatar/340.jpeg |             1
 341 | Taddy Mason                                   | Alive   | Human                 |                                    | Male       | Earth (Replacement Dimension)              | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/341.jpeg |             1
 342 | Taint Washer                                  | Alive   | Human                 |                                    | Male       | Post-Apocalyptic Earth                     | Post-Apocalyptic Earth                     | https://rickandmortyapi.com/api/character/avatar/342.jpeg |             1
 343 | Tammy Guetermann                              | Alive   | Cronenberg            |                                    | Female     | Earth (C-137)                              | Earth (C-137)                              | https://rickandmortyapi.com/api/character/avatar/343.jpeg |             2
 344 | Tammy Guetermann                              | Dead    | Human                 |                                    | Female     | Earth (Replacement Dimension)              | NX-5 Planet Remover                        | https://rickandmortyapi.com/api/character/avatar/344.jpeg |             5
 345 | Teacher Rick                                  | Alive   | Human                 |                                    | Male       | unknown                                    | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/345.jpeg |             1
 346 | Terry                                         | unknown | Human                 |                                    | Male       | Earth (Replacement Dimension)              | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/346.jpeg |             1
 347 | President Curtis                              | Alive   | Human                 |                                    | Male       | Earth (Replacement Dimension)              | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/347.jpeg |             5
 348 | The President of the Miniverse                | Dead    | Humanoid              | Miniverse inhabitant               | Male       | Zeep Xanflorps Miniverse                   | Zeep Xanflorps Miniverse                   | https://rickandmortyapi.com/api/character/avatar/348.jpeg |             1
 349 | The Scientist Formerly Known as Rick          | Dead    | Human                 |                                    | Male       | unknown                                    | unknown                                    | https://rickandmortyapi.com/api/character/avatar/349.jpeg |             1
 350 | Thomas Lipkip                                 | unknown | Human                 |                                    | Male       | Earth (Replacement Dimension)              | Froopyland                                 | https://rickandmortyapi.com/api/character/avatar/350.jpeg |             1
 351 | Three Unknown Things                          | Alive   | Alien                 |                                    | unknown    | unknown                                    | Interdimensional Cable                     | https://rickandmortyapi.com/api/character/avatar/351.jpeg |             1
 352 | Tinkles                                       | Dead    | Alien                 | Parasite                           | Female     | unknown                                    | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/352.jpeg |             1
 353 | Tiny Rick                                     | Dead    | Human                 | Clone                              | Male       | Earth (Replacement Dimension)              | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/353.jpeg |             1
 354 | Toby Matthews                                 | Alive   | Human                 |                                    | Male       | Earth (Replacement Dimension)              | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/354.jpeg |             1
 355 | Todd Crystal                                  | Alive   | Alien                 | Unknown-nippled alien              | Male       | Unitys Planet                              | Unitys Planet                              | https://rickandmortyapi.com/api/character/avatar/355.jpeg |             1
 356 | Tom Randolph                                  | Alive   | Human                 |                                    | Male       | Earth (C-137)                              | Earth (C-137)                              | https://rickandmortyapi.com/api/character/avatar/356.jpeg |             1
 357 | Tommys Clone                                  | Alive   | Human                 | Clone                              | Male       | Earth (Replacement Dimension)              | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/357.jpeg |             1
 358 | Tophat Jones                                  | Dead    | Mythological Creature | Leprechaun                         | Male       | unknown                                    | Interdimensional Cable                     | https://rickandmortyapi.com/api/character/avatar/358.jpeg |             3
 359 | Tortured Morty                                | unknown | Human                 |                                    | Male       | unknown                                    | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/359.jpeg |             1
 360 | Toxic Morty                                   | Dead    | Humanoid              | Mortys toxic side                  | Male       | Detoxifier                                 | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/360.jpeg |             1
 361 | Toxic Rick                                    | Dead    | Humanoid              | Ricks toxic side                   | Male       | Detoxifier                                 | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/361.jpeg |             1
 362 | Traflorkian                                   | Alive   | Alien                 | Traflorkian                        | unknown    | unknown                                    | Worldenders lair                           | https://rickandmortyapi.com/api/character/avatar/362.jpeg |             5
 363 | Trandor                                       | Alive   | Alien                 | Krootabulan                        | Male       | Krootabulon                                | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/363.jpeg |             1
 364 | Tree Person                                   | Dead    | Humanoid              | Teenyverse inhabitant              | unknown    | Kyles Teenyverse                           | Kyles Teenyverse                           | https://rickandmortyapi.com/api/character/avatar/364.jpeg |             1
 365 | Tricia Lange                                  | Alive   | Human                 |                                    | Female     | Earth (Replacement Dimension)              | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/365.jpeg |             5
 366 | Trunk Morty                                   | Alive   | Humanoid              | Trunk-Person                       | Male       | Trunk World                                | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/366.jpeg |             1
 367 | Trunk Man                                     | Alive   | Humanoid              | Trunk-Person                       | Male       | Trunk World                                | Interdimensional Cable                     | https://rickandmortyapi.com/api/character/avatar/367.jpeg |             2
 368 | Truth Tortoise                                | unknown | Mythological Creature | Omniscient being                   | Male       | unknown                                    | unknown                                    | https://rickandmortyapi.com/api/character/avatar/368.jpeg |             1
 369 | Tusked Assassin                               | unknown | Alien                 | Tuskfish                           | Male       | Resort Planet                              | Resort Planet                              | https://rickandmortyapi.com/api/character/avatar/369.jpeg |             1
 370 | Two Guys with Handlebar Mustaches             | Alive   | Human                 |                                    | Male       | unknown                                    | Interdimensional Cable                     | https://rickandmortyapi.com/api/character/avatar/370.jpeg |             1
 371 | Tumblorkian                                   | Alive   | Alien                 | Tumblorkian                        | Male       | Plopstar                                   | Plopstar                                   | https://rickandmortyapi.com/api/character/avatar/371.jpeg |             1
 372 | Unity                                         | Alive   | Alien                 | Hivemind                           | Genderless | unknown                                    | Unitys Planet                              | https://rickandmortyapi.com/api/character/avatar/372.jpeg |             1
 373 | Unmuscular Michael                            | Alive   | Human                 |                                    | Male       | unknown                                    | Interdimensional Cable                     | https://rickandmortyapi.com/api/character/avatar/373.jpeg |             1
 374 | Vampire Master                                | Alive   | Mythological Creature | Vampire                            | Male       | Earth (Replacement Dimension)              | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/374.jpeg |             1
 375 | Vance Maximus                                 | Dead    | Human                 |                                    | Male       | unknown                                    | Worldenders lair                           | https://rickandmortyapi.com/api/character/avatar/375.jpeg |             1
 376 | Veronica Ann Bennet                           | Alive   | Alien                 | Gazorpian                          | Female     | Gazorpazorp                                | Gazorpazorp                                | https://rickandmortyapi.com/api/character/avatar/376.jpeg |             1
 377 | Voltematron                                   | Dead    | Alien                 | Parasite                           | unknown    | unknown                                    | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/377.jpeg |             1
 378 | Wall Crawling Rick                            | unknown | Humanoid              | Lizard-Person                      | Male       | unknown                                    | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/378.jpeg |             1
 379 | Wedding Bartender                             | unknown | Alien                 |                                    | Male       | unknown                                    | Planet Squanch                             | https://rickandmortyapi.com/api/character/avatar/379.jpeg |             1
 380 | Unknown Rick                                  | unknown | Human                 |                                    | Male       | unknown                                    | unknown                                    | https://rickandmortyapi.com/api/character/avatar/380.jpeg |             2
 381 | Woman Rick                                    | Alive   | Alien                 | Chair                              | Female     | unknown                                    | unknown                                    | https://rickandmortyapi.com/api/character/avatar/381.jpeg |             1
 382 | Worldender                                    | Dead    | Alien                 |                                    | Male       | unknown                                    | Worldenders lair                           | https://rickandmortyapi.com/api/character/avatar/382.jpeg |             1
 383 | Yaarb                                         | Alive   | Alien                 |                                    | Male       | unknown                                    | St. Gloopy Noops Hospital                  | https://rickandmortyapi.com/api/character/avatar/383.jpeg |             1
 384 | Yellow Headed Doctor                          | Alive   | Alien                 |                                    | Male       | unknown                                    | St. Gloopy Noops Hospital                  | https://rickandmortyapi.com/api/character/avatar/384.jpeg |             1
 385 | Yellow Shirt Rick                             | unknown | Human                 |                                    | Male       | unknown                                    | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/385.jpeg |             1
 386 | Zarbadar Gloonch                              | Dead    | Alien                 | Drumbloxian                        | Female     | unknown                                    | Nuptia 4                                   | https://rickandmortyapi.com/api/character/avatar/386.jpeg |             2
 387 | Zarbadars Mytholog                            | unknown | Mythological Creature | Mytholog                           | Female     | Nuptia 4                                   | Nuptia 4                                   | https://rickandmortyapi.com/api/character/avatar/387.jpeg |             1
 388 | Zeep Xanflorp                                 | Alive   | Humanoid              | Microverse inhabitant              | Male       | Ricks Battery Microverse                   | Ricks Battery Microverse                   | https://rickandmortyapi.com/api/character/avatar/388.jpeg |             1
 389 | Zeta Alpha Rick                               | Dead    | Human                 |                                    | Male       | unknown                                    | Ricks Memories                             | https://rickandmortyapi.com/api/character/avatar/389.jpeg |             4
 390 | Zick Zack                                     | Dead    | Alien                 | Floop Floopian                     | Male       | unknown                                    | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/390.jpeg |             1
 391 | Uncle Steve                                   | Dead    | Alien                 | Parasite                           | Male       | unknown                                    | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/391.jpeg |             1
 392 | Bearded Morty                                 | Alive   | Human                 |                                    | Male       | unknown                                    | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/392.jpeg |             2
 393 | Roy                                           | Alive   | Human                 | Game                               | Male       | Roy: A Life Well Lived                     | Roy: A Life Well Lived                     | https://rickandmortyapi.com/api/character/avatar/393.jpeg |             1
 394 | Davin                                         | Dead    | Cronenberg            |                                    | Male       | Earth (C-137)                              | Earth (C-137)                              | https://rickandmortyapi.com/api/character/avatar/394.jpeg |             2
 395 | Greebybobe                                    | Alive   | Alien                 | Greebybobe                         | unknown    | Girvonesk                                  | Worldenders lair                           | https://rickandmortyapi.com/api/character/avatar/395.jpeg |             4
 396 | Scary Teacher                                 | Alive   | Mythological Creature | Monster                            | Male       | Mr. Goldenfolds dream                      | Mr. Goldenfolds dream                      | https://rickandmortyapi.com/api/character/avatar/396.jpeg |             1
 397 | Fido                                          | Alive   | Animal                | Dog                                | Male       | Snuffles Dream                             | Snuffles Dream                             | https://rickandmortyapi.com/api/character/avatar/397.jpeg |             1
 398 | Accountant dog                                | Alive   | Animal                | Dog                                | Male       | Snuffles Dream                             | Snuffles Dream                             | https://rickandmortyapi.com/api/character/avatar/398.jpeg |             1
 399 | Tiny-persons advocacy group lawyer            | Alive   | Mythological Creature | Giant                              | Male       | Giants Town                                | Giants Town                                | https://rickandmortyapi.com/api/character/avatar/399.jpeg |             1
 400 | Giant Judge                                   | Alive   | Mythological Creature | Giant                              | Male       | Giants Town                                | Giants Town                                | https://rickandmortyapi.com/api/character/avatar/400.jpeg |             1
 401 | Morty Jrs interviewer                         | Alive   | Human                 |                                    | Male       | Earth (Replacement Dimension)              | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/401.jpeg |             1
 402 | Guy from The Bachelor                         | Alive   | Human                 |                                    | Male       | Earth (Replacement Dimension)              | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/402.jpeg |             1
 403 | Corn detective                                | Dead    | Humanoid              | Corn-person                        | Male       | Interdimensional Cable                     | Interdimensional Cable                     | https://rickandmortyapi.com/api/character/avatar/403.jpeg |             1
 404 | Michael Jackson                               | Alive   | Humanoid              | Phone-Person                       | Male       | Earth (Phone Dimension)                    | Earth (Phone Dimension)                    | https://rickandmortyapi.com/api/character/avatar/404.jpeg |             1
 405 | Trunkphobic suspenders guy                    | Alive   | Human                 |                                    | Male       | unknown                                    | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/405.jpeg |             4
 406 | Spiderweb teddy bear                          | Alive   | Animal                | Teddy Bear                         | unknown    | Interdimensional Cable                     | Interdimensional Cable                     | https://rickandmortyapi.com/api/character/avatar/406.jpeg |             1
 407 | Regular Tyrion Lannister                      | Alive   | Human                 |                                    | Male       | Interdimensional Cable                     | Interdimensional Cable                     | https://rickandmortyapi.com/api/character/avatar/407.jpeg |             1
 408 | Quick Mystery Presenter                       | Alive   | Human                 |                                    | Male       | Interdimensional Cable                     | Interdimensional Cable                     | https://rickandmortyapi.com/api/character/avatar/408.jpeg |             1
 409 | Mr. Sneezy                                    | Alive   | Human                 | Little Human                       | Male       | Interdimensional Cable                     | Interdimensional Cable                     | https://rickandmortyapi.com/api/character/avatar/409.jpeg |             1
 410 | Two Brothers                                  | Alive   | Human                 |                                    | Male       | Interdimensional Cable                     | Interdimensional Cable                     | https://rickandmortyapi.com/api/character/avatar/410.jpeg |             1
 411 | Alien Mexican Armada                          | unknown | Alien                 | Mexican                            | Male       | Interdimensional Cable                     | Interdimensional Cable                     | https://rickandmortyapi.com/api/character/avatar/411.jpeg |             1
 412 | Giant Cat Monster                             | unknown | Animal                | Giant Cat Monster                  | unknown    | Interdimensional Cable                     | Interdimensional Cable                     | https://rickandmortyapi.com/api/character/avatar/412.jpeg |             1
 413 | Old Women                                     | unknown | Human                 | Old Amazons                        | Female     | Interdimensional Cable                     | Interdimensional Cable                     | https://rickandmortyapi.com/api/character/avatar/413.jpeg |             1
 414 | Trunkphobic guy                               | Alive   | Human                 |                                    | Male       | Interdimensional Cable                     | Interdimensional Cable                     | https://rickandmortyapi.com/api/character/avatar/414.jpeg |             1
 415 | Pro trunk people marriage guy                 | Alive   | Human                 |                                    | Male       | Interdimensional Cable                     | Interdimensional Cable                     | https://rickandmortyapi.com/api/character/avatar/415.jpeg |             1
 416 | Muscular Mannie                               | Alive   | Human                 | Mannie                             | Male       | Interdimensional Cable                     | Interdimensional Cable                     | https://rickandmortyapi.com/api/character/avatar/416.jpeg |             1
 417 | Baby Legs Chief                               | Alive   | Human                 |                                    | Male       | Interdimensional Cable                     | Interdimensional Cable                     | https://rickandmortyapi.com/api/character/avatar/417.jpeg |             1
 418 | Mrs. Sullivans Boyfriend                      | Alive   | Human                 | Necrophiliac                       | Male       | Interdimensional Cable                     | Interdimensional Cable                     | https://rickandmortyapi.com/api/character/avatar/418.jpeg |             1
 419 | Plutonian Hostess                             | Alive   | Alien                 | Plutonian                          | Female     | Pluto                                      | Pluto                                      | https://rickandmortyapi.com/api/character/avatar/419.jpeg |             1
 420 | Plutonian Host                                | Alive   | Alien                 | Plutonian                          | Male       | Pluto                                      | Pluto                                      | https://rickandmortyapi.com/api/character/avatar/420.jpeg |             1
 421 | Rich Plutonian                                | Alive   | Alien                 | Plutonian                          | Female     | Pluto                                      | Pluto                                      | https://rickandmortyapi.com/api/character/avatar/421.jpeg |             1
 422 | Rich Plutonian                                | Alive   | Alien                 | Plutonian                          | Male       | Pluto                                      | Pluto                                      | https://rickandmortyapi.com/api/character/avatar/422.jpeg |             1
 423 | Synthetic Laser Eels                          | Alive   | Animal                | Eel                                | unknown    | Earth (Replacement Dimension)              | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/423.jpeg |             1
 424 | Pizza-person                                  | Alive   | Humanoid              | Pizza                              | Male       | Earth (Pizza Dimension)                    | Earth (Pizza Dimension)                    | https://rickandmortyapi.com/api/character/avatar/424.jpeg |             1
 425 | Pizza-person                                  | Alive   | Humanoid              | Pizza                              | Male       | Earth (Pizza Dimension)                    | Earth (Pizza Dimension)                    | https://rickandmortyapi.com/api/character/avatar/425.jpeg |             1
 426 | Greasy Grandma                                | Alive   | Human                 | Grandma                            | Female     | Greasy Grandma World                       | Greasy Grandma World                       | https://rickandmortyapi.com/api/character/avatar/426.jpeg |             1
 427 | Phone-person                                  | Alive   | Humanoid              | Phone                              | Male       | Earth (Phone Dimension)                    | Earth (Phone Dimension)                    | https://rickandmortyapi.com/api/character/avatar/427.jpeg |             1
 428 | Phone-person                                  | Alive   | Humanoid              | Phone                              | Male       | Earth (Phone Dimension)                    | Earth (Phone Dimension)                    | https://rickandmortyapi.com/api/character/avatar/428.jpeg |             1
 429 | Chair-person                                  | Alive   | Humanoid              | Chair                              | Male       | Earth (Chair Dimension)                    | Earth (Chair Dimension)                    | https://rickandmortyapi.com/api/character/avatar/429.jpeg |             1
 430 | Chair-person                                  | Alive   | Humanoid              | Chair                              | Male       | Earth (Chair Dimension)                    | Earth (Chair Dimension)                    | https://rickandmortyapi.com/api/character/avatar/430.jpeg |             1
 431 | Chair-homeless                                | Alive   | Humanoid              | Chair                              | Male       | Earth (Chair Dimension)                    | Earth (Chair Dimension)                    | https://rickandmortyapi.com/api/character/avatar/431.jpeg |             1
 432 | Chair-waiter                                  | Alive   | Humanoid              | Chair                              | Male       | Earth (Chair Dimension)                    | Earth (Chair Dimension)                    | https://rickandmortyapi.com/api/character/avatar/432.jpeg |             1
 433 | Doopidoo                                      | Alive   | Animal                | Doopidoo                           | unknown    | unknown                                    | unknown                                    | https://rickandmortyapi.com/api/character/avatar/433.jpeg |             1
 434 | Super Weird Rick                              | unknown | Human                 |                                    | Male       | unknown                                    | unknown                                    | https://rickandmortyapi.com/api/character/avatar/434.jpeg |             1
 435 | Pripudlian                                    | Alive   | Alien                 | Pripudlian                         | unknown    | unknown                                    | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/435.jpeg |             4
 436 | Giant Testicle Monster                        | Alive   | Alien                 |                                    | unknown    | Testicle Monster Dimension                 | Testicle Monster Dimension                 | https://rickandmortyapi.com/api/character/avatar/436.jpeg |             2
 437 | Michael                                       | Alive   | Human                 |                                    | Male       | Earth (Replacement Dimension)              | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/437.jpeg |             1
 438 | Michaels Lawyer                               | Alive   | Human                 |                                    | Male       | Earth (Replacement Dimension)              | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/438.jpeg |             1
 439 | Veterinary                                    | Alive   | Human                 |                                    | Female     | Earth (Replacement Dimension)              | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/439.jpeg |             1
 440 | Veterinary Nurse                              | Alive   | Human                 |                                    | Male       | Earth (Replacement Dimension)              | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/440.jpeg |             1
 441 | Bearded Jerry                                 | Alive   | Human                 |                                    | Male       | unknown                                    | Jerryboree                                 | https://rickandmortyapi.com/api/character/avatar/441.jpeg |             1
 442 | Shaved Head Jerry                             | Alive   | Human                 |                                    | Male       | unknown                                    | Jerryboree                                 | https://rickandmortyapi.com/api/character/avatar/442.jpeg |             1
 443 | Tank Top Jerry                                | Alive   | Human                 |                                    | Male       | unknown                                    | Jerryboree                                 | https://rickandmortyapi.com/api/character/avatar/443.jpeg |             1
 444 | Pink Polo Shirt Jerry                         | Alive   | Human                 |                                    | Male       | unknown                                    | Jerryboree                                 | https://rickandmortyapi.com/api/character/avatar/444.jpeg |             1
 445 | Jerryboree Keeper                             | Alive   | Alien                 |                                    | Female     | unknown                                    | Jerryboree                                 | https://rickandmortyapi.com/api/character/avatar/445.jpeg |             1
 446 | Jerryboree Receptionist                       | Alive   | Alien                 |                                    | Male       | unknown                                    | Jerryboree                                 | https://rickandmortyapi.com/api/character/avatar/446.jpeg |             1
 447 | Anchor Gear                                   | Alive   | Alien                 | Gear-Person                        | Male       | Gear World                                 | Gear World                                 | https://rickandmortyapi.com/api/character/avatar/447.jpeg |             1
 448 | Gear Cop                                      | Dead    | Alien                 | Gear-Person                        | Male       | Gear World                                 | Gear World                                 | https://rickandmortyapi.com/api/character/avatar/448.jpeg |             1
 449 | Roys Mum                                      | Alive   | Human                 | Game                               | Female     | Roy: A Life Well Lived                     | Roy: A Life Well Lived                     | https://rickandmortyapi.com/api/character/avatar/449.jpeg |             1
 450 | Roys Wife                                     | Alive   | Human                 | Game                               | Male       | Roy: A Life Well Lived                     | Roy: A Life Well Lived                     | https://rickandmortyapi.com/api/character/avatar/450.jpeg |             1
 451 | Roys Son                                      | Alive   | Human                 | Game                               | Male       | Roy: A Life Well Lived                     | Roy: A Life Well Lived                     | https://rickandmortyapi.com/api/character/avatar/451.jpeg |             1
 452 | Simon                                         | Alive   | Human                 |                                    | Male       | Earth (Replacement Dimension)              | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/452.jpeg |             1
 453 | Vampire Masters Assistant                     | Alive   | Mythological Creature | Vampire                            | Male       | unknown                                    | Earth (Replacement Dimension)              | https://rickandmortyapi.com/api/character/avatar/453.jpeg |             1
 454 | Arbolian Mentirososian                        | Alive   | Alien                 |                                    | unknown    | Árboles Mentirosos                         | St. Gloopy Noops Hospital                  | https://rickandmortyapi.com/api/character/avatar/454.jpeg |             3
 455 | St. Gloopy Noops Nurse                        | Alive   | Alien                 |                                    | Female     | unknown                                    | St. Gloopy Noops Hospital                  | https://rickandmortyapi.com/api/character/avatar/455.jpeg |             1
 456 | Nano Doctor                                   | Alive   | Alien                 | Nano Alien                         | Male       | unknown                                    | St. Gloopy Noops Hospital                  | https://rickandmortyapi.com/api/character/avatar/456.jpeg |             1
 457 | Funny Songs Presenter                         | Alive   | Human                 |                                    | Male       | unknown                                    | Interdimensional Cable                     | https://rickandmortyapi.com/api/character/avatar/457.jpeg |             1
 458 | Tax Attorney                                  | unknown | Human                 |                                    | Male       | unknown                                    | Interdimensional Cable                     | https://rickandmortyapi.com/api/character/avatar/458.jpeg |             1
 459 | Butthole Ice Cream Guy                        | Alive   | Alien                 |                                    | Male       | unknown                                    | Interdimensional Cable                     | https://rickandmortyapi.com/api/character/avatar/459.jpeg |             1
 460 | Traflorkian Journalist                        | Alive   | Alien                 | Traflorkian                        | Male       | unknown                                    | St. Gloopy Noops Hospital                  | https://rickandmortyapi.com/api/character/avatar/460.jpeg |             1
 461 | Communications Responsible Rick               | Dead    | Human                 |                                    | Male       | unknown                                    | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/461.jpeg |             1
 462 | Teleportations Responsible Rick               | unknown | Human                 |                                    | Male       | unknown                                    | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/462.jpeg |             1
 463 | SEAL Team Rick                                | Dead    | Human                 |                                    | Male       | unknown                                    | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/463.jpeg |             1
 464 | SEAL Team Rick                                | Dead    | Human                 |                                    | Male       | unknown                                    | Citadel of Ricks                           | https://rickandmortyapi.com/api/character/avatar/464.jpeg |             1
